[10/09/2012 00:18:10] /ghost
[10/09/2012 00:18:20] /attr health 1000000000
[10/09/2012 00:18:46] /attr mana 100000000000
[10/09/2012 00:19:00] /attr mana 42427226
[10/09/2012 00:19:53] /attr mana 42427226
[10/09/2012 00:19:54] /attr mana 42427226
[10/09/2012 00:19:55] /attr mana 42427226
[10/09/2012 00:19:55] /attr mana 42427226
[10/09/2012 00:20:12] /attr mana 10000
[10/09/2012 00:20:14] /attr mana 10000
[10/09/2012 00:20:15] /attr mana 10000
[10/09/2012 00:20:15] /attr mana 10000
[10/09/2012 00:20:16] /attr mana 10000
[10/09/2012 00:20:17] /attr mana 10000
[10/09/2012 00:20:18] /attr mana 10000
[10/09/2012 00:20:18] /attr mana 10000
[10/09/2012 00:20:19] /attr mana 10000
[10/09/2012 00:20:22] /i mana potion
[10/09/2012 00:24:07] /name Massinha,[GM] OtServ
[05/10/2012 00:48:20] /ghost
[05/10/2012 00:52:19] /name Massinha,[ADMIN] OtServ
